word,tmin,order,logfrqhal,sndpwr,phrases,bin
of,45.41779278,1642,16.21,0.000012968,1,one
mixed,45.59756378,1643,9.62,0.0029714,1,one
flavor,45.99266578,1644,7.2,0.000050726,2,two
of,46.52381478,1645,16.21,2.6063E-06,1,one
cherry,46.69905978,1646,8.38,6.1086E-06,1,one
tart,47.22586278,1647,6.35,0.01188,1,one
custard,48.21960378,1648,6.25,0.0090415,1,one
pineapple,48.97388978,1649,6.46,0.0010873,1,one
roast,49.95565878,1650,7.3,0.0041414,1,one
turkey,50.35076078,1651,9.53,0.021606,1,one
toffee,50.84164478,1652,12.9180065,0.014374,2,two
and,51.40651578,1653,16.19,0.0027046,1,one
hot,51.57198478,1654,10.85,0.0050433,1,one
buttered,51.83538678,1655,5.75,0.01263,1,one
toast,52.20247578,1656,8.03,0.000087786,10,three+
she,53.83484178,1657,13.1,2.7266E-07,2,two
very,54.08627078,1658,13.28,0.00011767,1,one
soon,54.39756378,1659,11.41,0.011981,2,two
finished,55.04409378,1660,10.05,0.0077037,1,one
it,55.42390078,1661,15.37,0.0042027,2,two
off,55.53645078,1662,12.65,0.0095787,5,three+
What,1.051980798,1663,14.1,3.4488E-09,2,two
a,1.160767,1664,16.18,3.6172E-09,1,one
curious,1.308375,1665,9.92,3.8566E-09,1,one
feeling,2.14647,1666,10.53,3.5243E-09,2,two
said,2.787119,1667,12.77,3.6569E-09,1,one
Alice,3.069088,1668,8.65,4.0668E-09,5,three+
I,3.670205,1669,15.79,3.8722E-09,2,two
must,3.810893,1670,12.63,3.7616E-09,1,one
be,4.110007,1671,14.95,3.8659E-09,1,one
shutting,4.193817,1672,7.6,4.1597E-09,1,one
up,4.602269,1673,13.74,4.1804E-09,2,two
like,4.780483,1674,13.87,3.4859E-09,1,one
a,4.907454,1675,16.18,3.9406E-09,1,one
telescope,5.004853,1676,8.11,4.1876E-09,8,three+
And,6.456674,1677,16.19,3.7126E-09,1,one
so,6.616548,1678,14.05,3.6886E-09,2,two
it,6.895759,1679,15.37,3.9153E-09,2,two
was,7.007422,1680,14.56,3.9744E-09,1,one
indeed,7.246878,1681,9.55,4.0157E-09,5,three+
she,8.24062,1682,13.1,3.8752E-09,2,two
was,8.396266,1683,14.56,3.6632E-09,1,one
now,8.575858,1684,13.3,3.7586E-09,1,one
only,8.851232,1685,13.63,3.9693E-09,1,one
ten,9.078715,1686,10.57,3.5332E-09,1,one
inches,9.354089,1687,9.55,3.6915E-09,3,three+
high,9.737218,1688,12.13,3.8798E-09,4,three+
and,10.371776,1689,16.19,4.1736E-09,1,one
her,10.52606,1690,13.3,3.686E-09,1,one
face,10.623205,1691,11.26,3.5611E-09,2,two
brightened,11.042252,1692,5.31,3.8992E-09,1,one
up,11.395356,1693,13.74,3.7755E-09,2,two
at,11.581028,1694,14.5,3.5231E-09,1,one
the,11.688783,1695,16.96,3.3398E-09,1,one
thought,11.856402,1696,12.07,4.0136E-09,3,three+
that,12.167694,1697,15.48,4.166E-09,1,one
she,12.335313,1698,13.1,3.765E-09,2,two
was,12.514905,1699,14.56,3.4948E-09,1,one
now,12.742388,1700,13.3,3.6472E-09,2,two
the,12.969871,1701,16.96,4.0521E-09,1,one
right,13.13749,1702,12.87,4.1107E-09,1,one
size,13.364973,1703,11.58,3.8507E-09,2,two
for,13.772048,1704,15.42,4.028E-09,1,one
going,13.891776,1705,12.63,3.9178E-09,1,one
through,14.286878,1706,12.63,4.1015E-09,1,one
the,14.514361,1707,16.96,3.5514E-09,1,one
little,14.598171,1708,12.57,4.2247E-09,1,one
door,14.933409,1709,10.89,4.0795E-09,3,three+
into,15.376402,1710,13.24,3.5771E-09,1,one
that,15.670657,1711,15.48,3.9368E-09,1,one
lovely,15.891232,1712,9.01,3.5231E-09,1,one
garden,16.214497,1713,9.33,3.7228E-09,14,three+
First,17.782932,1714,13.16,3.8101E-09,2,two
however,18.166062,1715,12.35,4.15E-09,2,two
she,18.513273,1716,13.1,3.6476E-09,2,two
waited,18.728783,1717,8.76,4.0014E-09,1,one
for,19.075994,1718,15.42,3.5784E-09,1,one
a,19.363341,1719,16.18,3.9541E-09,1,one
few,19.399259,1720,12.49,3.808E-09,1,one
minutes,19.674633,1721,11.06,3.7692E-09,3,three+
to,20.47681,1722,16.35,0.0020362,1,one
see,20.596538,1723,13.27,0.000040006,1,one
if,20.788103,1724,14.65,0.00012037,1,one
